file_name,replicate,cell_density,start_time,cell_volume
/Users/Joey/Documents/M.Tseng/flowcam-summaries-dec22/1_summary,1,152777,2016-12-22  16:15:18,998.96
/Users/Joey/Documents/M.Tseng/flowcam-summaries-dec22/10_summary,10,394498,2016-12-22  16:33:46,634.59
/Users/Joey/Documents/M.Tseng/flowcam-summaries-dec22/11_summary,11,287100,2016-12-22  16:36:02,657.47
/Users/Joey/Documents/M.Tseng/flowcam-summaries-dec22/12_summary,12,277146,2016-12-22  16:37:18,738.13
/Users/Joey/Documents/M.Tseng/flowcam-summaries-dec22/13_summary,13,249733,2016-12-22  16:39:51,743.74
/Users/Joey/Documents/M.Tseng/flowcam-summaries-dec22/14_summary,14,269067,2016-12-22  16:41:12,670.04
/Users/Joey/Documents/M.Tseng/flowcam-summaries-dec22/15_summary,15,243034,2016-12-22  16:42:27,757.75
/Users/Joey/Documents/M.Tseng/flowcam-summaries-dec22/16_summary,16,241954,2016-12-22  16:43:41,765.42
/Users/Joey/Documents/M.Tseng/flowcam-summaries-dec22/2_summary,2,300013,2016-12-22  16:21:27,941.05
/Users/Joey/Documents/M.Tseng/flowcam-summaries-dec22/3_summary,3,417094,2016-12-22  16:22:56,898.37
/Users/Joey/Documents/M.Tseng/flowcam-summaries-dec22/4_summary,4,302604,2016-12-22  16:24:35,937.89
/Users/Joey/Documents/M.Tseng/flowcam-summaries-dec22/5_summary,5,294178,2016-12-22  16:25:51,1050.38
/Users/Joey/Documents/M.Tseng/flowcam-summaries-dec22/6_summary,6,275110,2016-12-22  16:27:07,1177.81
/Users/Joey/Documents/M.Tseng/flowcam-summaries-dec22/7_summary,7,216185,2016-12-22  16:28:25,1197.28
/Users/Joey/Documents/M.Tseng/flowcam-summaries-dec22/8_summary,8,147157,2016-12-22  16:31:08,901.79
/Users/Joey/Documents/M.Tseng/flowcam-summaries-dec22/9_summary,9,254717,2016-12-22  16:32:25,612.74
